hi,en
"So finally MS Dhoni whispered Faf Du Plesis "" बेटा out हो जा नहीं तो IPL से out कर दूंगा "" LOL #IndVsSA
","So finally MS Dhoni whispered Faf Du Plesis "" son give your wicket otherwise i will remove you from IPL "" LOL #IndVsSA
"
""" तुम तो ठहरे .. परदेसी .. सात का निभाओगे .. सुबह पहली .. सुबह पहली .. गाड़ी से घर को लौट जाओगे .. "" ~ Modi तो Obama . Right now .
","you are a foreigner , how much longer will you stay with me . you are going to return to your home , on the first car tomorrow morning ~ modi to obama . right now
"
"how do you know ? ? ? :P
","how do u know ?
"
"@priyal आप शादी शुदा है ? < / 3 दिल के टुकड़े हजार हुए
","@priyal are you married ? my heart shattered into thousand pieces
"
"how have i missed that today is national margarita day ? ! ? ! ? kinda doesn't go with ash wednesday . . . . .
","how have i missed that today is national margarita day ? kind of doesn't go with ash wednesday .
"
"#wahMeraIndia यहां #DelhiPollution से लोगों का जीना मुश्किल है किसी ने कुछ नहीं किया पर #Padmavati release के against लोग road पर निकल आयें हैं
","#wahMeraIndia here #DelhiPollution is making people's life hard and noone did something but people came out on road to protest against #Padmavati release
"
"हू हू हू Ravish जी की ले ली @theFirstHandle nettle :/ / myvoice.opindia.com/2016/11/baagon-mein-bahar-ravish-kumar/ ...
","ho ho ho ravish sir has been trashed @theFirstHandle nehttp :/ / myvoice.opindia.com/2016/11/baagon-mein-bahar-ravish-kumar/ …
"
"@IALalika @Umarkarim89 @ArifeenIbad No . बल्ले बाज़ कुछ नहीं करेगा
","@IALalika @Umarkarim89 @ArifeenIbad No . Batsman would not do anything .
"
"@Champ_Nikk प्याज की कचोरी खायी है Jodhpur की
","@Champ_Nikk have you tried jodhpur's onion kachori ?
"
"haha . 2-4 दिन में सब खत्म हो जाएगा ऐसी hope है
","haha . everything would be over in 2-4 days that's hat i hope for .
"
"@Insane_chorri पागल हो गया है
","@Insane_chorri gone mad ?
"
"बिल्कुल नहीं यार , मेरा क्या जाता है ? तो बस चाहता क्या है मुझसे ? यह जानना है .
","Not at all man , what happens to me ? What do you just want from me ? This is to be known .
"
"इस बार नई हुए काटती but next time जरुर हो जाऊगा ... love you भाईजान ... मुह
","i didn't get mad this time but , i will get next this happens ... love u brother
"
"सबके सामने नाक तो कटवा ही देती है biwiyahttps :/ / twitter.com/anjanabhartia/status/887558772826152960Â â € ¦
","wives dishonour in front of everyone https://twitter.com/anjanabhartia/status/887558772826152960Â â € ¦
"
"@MohitParmarr भाई वो हो चुका है
","@MohitParmarr brother that thing thing has been done
"
"man , निया प . m . modi जी आपसे appeal है . vat text sistam कानूनों को सरल तरीके का कानून बना दे
","honourable prime minister modi ji , I have an appeal to you . please simplify the system of vat tax law .
"
"ओये बेन के भइयों .. सल्लू भाई की कोई चीज फेक नहीं होती .. समझे क्या
","hey brothers of sisters , none of sallu's thing is fake , understand ?
"
"Watching #RSMMA where @Mirchimumbai gives #music को सलाम ! awesome host @sonunigam #staytuned
","Watching #RSMMA where @Mirchimumbai offers salute to #music ! awesome host @sonunigam #staytuned
"
"Barkha auntie जो भी सोचे हमको करना क्या ... trail किया तो डरना क्या ?
","why would we do anything what barkha aunti says , we shouldn't worry after trolling her .
"
"घुटने की नसे फट जाएगी जानेमाने @BabitaPhogat
","your harmstrings muscles will break sweetheart . @BabitaPhogat
"
"और लड़की का number ? वो नहीं चाहिए ?
","and the girl's number ? do not want that ?
"
"@DhuanDhari hahaha .. ये भी खूब रही
","@DhuanDhari ( laugh ) this is also awesome .
"
"जनता में खुशी की लहर , सब वापस अपने अपने कमरों में पहुंचे तो celebratehttps :/ / twitter.com/abpnewstv/status/628545892665004033 ...
","there is a wave of joy in the public , everyone is back to their rooms to celebrate https://twitter.com/abpnewstv/status/628545892665004033 …
"
"@oneelife @NasirJamshed25 सब fake हैं
","@oneelife @NasirJamshed25 sab fake hain
"
"RT @ShankarNaresh1 : Wish you Happy Mahashivrathiri To All #MahaShivratri @AnjanaVJ @Manivj07 @jan_iyer @iamlakshmirai sunday http://t.co/qPzDRUxiOa
","Retweet @ShankarNaresh1 : Wish you happy Mahashivrathiri to all . #MahaShivratri @AnjanaVJ @Manivj07 @jan_iyer @iamlakshmirai sunday http://t.co/qPzDRUxiOa
"
"अब भी भगवान ही कुछ help कर रहे हैं . हमारी govt और authorities कुछ नहीं कर पाई @ArvindKejriwal @PMOIndia 0 #DelhiSmog
","even now only god is helping . our government authorities have not been able to do anything @ArvindKejriwal @PMOIndia 0 #DelhiSmog
"
"#254 [ M2K ]: Welcome to the club [ \ \ में / ] bet your stories aren't as entertaining as mine
",")
"
"तेरा बाप चोर है #OffendEveryoneIn4Words
","your father is a thief #OffendEveryoneIn4Words
"
"Black Suit Punjabi Video Song HD Download 2014 by Preet Harpal ft . Fateh http://t.co/zuQ8xpXttB
","Black Suit Punjabi Video Song HD Download 2014 by Preet Harpal featuring Fateh http://t.co/zuQ8xpXttB
"
"and also , haven't been able to check and cab updates since sunday . if anyone hears any news , please pass it along to me . thanks !
","and also , i haven't been able to check cba updates since sunday . if anyone hears any news , please pass it along to me . thanks !
"
"मतलब खुद मारो फिर , दूसरों की क्यों मारते हो ? https://twitter.com/DailyYeats/status/691365373321568258 ...
","first you die , then you also affect other people ? https://twitter.com/DailyYeats/status/691365373321568258 …
"
"असली diwali तो इस बार China वाले मना रहे होंगे .. सस्ती light , creative दिये और मजेदार पटाखों के साथ .. Bwahahaa
","this year real diwali would be celebrated by the chinese .. with cheap lights , creative lamps and fun firecrackers ..
"
"आज gold है पानी पानी पानी पानी पानी पानी !
","Today gold is water , water , water , water , water , water ( full of water )
"
"ये लो 0 इसको कौन job देगा भाई ? यह Company के टुकड़े होंगे "" इंशाअल्लाह के नारे लगाएगा @kanhaiyajnusu @Shehla_Rashid #jnu
","see this ... who will give him a job brother ? they'll break down the company and yell slogans of "" inshaallah "" @kanhaiyajnusu @Shehla_Rashid #jnu
"
"@SritikaDhar @IScreamPunday हं , कर दे Piyu . हाँ कर दे मुझे
","@SritikaDhar @IScreamPunday piyu say yes . say yes to me .
"
"pitutary और pineal glands का क्या निष्कर्ष है ?
","what is the significance of pitutary and pineal glands ?
"
"भाई तो जो भी है , पर जो भी तो post करता है , सीधा दिल तक आती है . . . . . . लग रहा भाई ऐसे ही . . . .
","brother , whoever you are , whenever you post , it goes straight to my heart . Looks like a borther for no reason .
"
"देखो भाई Kejruwal supporter .. सीधे मां बहन पे आती है .. जा भाई तो नाली की पैदाइश https://twitter.com/NavenduSingh_/status/684055681612156928Â â € ¦
","Look Bhai Kejarwal supporter .. come directly to Maa Behen .. Ja Bhai Tu drain birth
"
"@anubhashukla7 एकदम सही समझा आपने
","- )
"
"@White_Crimes चल अब सो जाओ , कल काम पर जाना है ना ?
","@White_Crimes everyone should sleep , we have to go to work tomorrow , right ?
"
"Britney Spears ने भी इससे ज्यादा time लिया था divorce लेने की liye.https :/ / twitter.com/IndianExpress/status/815111636037943296 ...
","even britney spears took more time to divorce . https://twitter.com/IndianExpress/status/815111636037943296 …
"
"Dinesh Karthik भी IPL में अच्छा खेलते हैं , use भी ले लो Indian team में .
","Dinesh Karthik also plays good in IPL , take him too in indian team
"
"Ranveer Singh is more irritating than Shahrukh Khan .
","ranveer singh is more irritating than shahrukh khan .
"
"उसका कुछ नहीं कर सकते , गरीब phone पर video record करेगा भाई . थोड़ी तकलीफ तो होगी :'(
","there's nothing you can doo , if you recrd video in a cheap phone , then it would obviously be difficult :'(
"
"@LoKarDi_RT बकवास करने में तो प . the . किया है तुमने
","@LoKarDi_RT you have done Ph . D . in non sense
"
"@huh_watnow कोई भी भेज दो color screen वाला
","@huh_watnow send me any colour screen
"
"@Itsmy_rule अच्छा है देश से बुरी चीज कम हो रही है
",")
"
"@NumbYaar haha . मेरे mind में कुछ और होता है लिखते कुछ और हो
","@NumbYaar i think something in my mind , writes something else
"
"We expect greater things from @ArvindKejriwal . @narendramodi Rahul Gandhi
","we expect greater things from @ArvindKejriwal . @narendramodi rahul gandhi
"
"@BloodyKamina गाली क्यों बक रहा है मुझे ?
","@BloodyKamina why are you saying abusive words to me ?
"
"bollywood ने बच्चों को बर्बाद कर दिया है . . . . . . . . . सत्यानाश
","bollywood has wated children's lives
"
"#CabinetReshuffle तो हो गया ये #GST reshuffle हो सकता है क्या ... 18 को 8 कर दो ... बिरयानी बहुत महंगी हो गयी है भाई ...
","#CabinetReshuffle if cabinet can get reshuffld then can #GST be reshuffled as well ... reduce it to 8 from 18 ... biryani has become costly ...
"
"क्या भाई @Madan_Chikna अब कैसे शर्त लगा बैठें ? https://twitter.com/mid_day/status/801374743383314432 ...
","what brother @Madan_Chikna now with whom you made a bet ? https://twitter.com/mid_day/status/801374743383314432 …
"
"I want it i want it i want it ? ? ?
","i want it . i want it . i want it ? ? ?
"
"देख रही हूँ या नहीं ?
","are you seeing this or not ?
"
"तेरे घर पर आना बंद आजसे :P
","Aaj dam at your home : today
"
"@indiantweeter ये बहोत ही अलग dimensions पर चली गयी बात , मगर ठीक है !
","@indiantweeter this conversation went to a very different dimension , but it's okay !
"
"@akshaykanitkar @YearOfRat @Alahdin @retardedwriter अरे वाह ! :D चलो मिलते हैं सब , दारू पीते हैं !
","@akshaykanitkar @YearOfRat @Alllahdin @retardedwriter wow ! :D let's meet and drink beer !
"
"भइया you lookin so superb at movie Bajrangi भाईजान , , ऐसे ही हमेशा हम fans को प्यार देती रहे.इतना ही काफ़ी है मेरे liye.Love you भइया
","brother you were looking superb in the movie Bajrangi Bhaijaan . Keep showering your love on your fans , it is enough for us . Love you brother .
"
"जय shri ram ... coming son बुजुरूंगी भाई जान
","hail Lord sri ram ... coming soon bhajrangi brother .
"
"#AIB Roast Roster Roastest .. ! ! Indeed it was Roastest .. ! ! Poor Ranveer and Arjun :D
","#AIB roast roaster roastest ! ! indeed it was roastest ! ! poor ranveer and arjun
"
"tic tock .. tic tock ... यार ये time क्यों नहीं जा रहा ..
","tic tok .. tic tok ... why isn't the time passing ..
"
"@Ra_Bies आप star हो
","@Ra_Bies you are a star
"
"पहले #Demonitization फिर #GST और अब ये ... सीधा सीधा gun लेके लूट लो ना ...
","first #Demonitization then #GST and now this ... straightforward show me a gun and rob me ...
"
"अभी तेरी तारीफ़ किये कि तो musical instrument अच्छी बजता है @kachra_peti
","i paraised that you play musical instrument well @kachra_peti
"
"@itsmausam भाई भाई में चलता है
","@Itsamousam bhai walks in bhai
"
"@LoKarloUnfollow तेरे driver आया था .. बोल रहा था उसे तेरी पीठ का तिल बोहोत पसंद है
",")
"
"@HaramiParindey Hahaha .. काफी ओजस होगया था
",")
"
"@tweeting_pal हाई इतना प्यार
","@tweeting_pal oh my god , so much love
"
"@kapilv20012001 @vaidehisachin लोग बात समझाने के लिए एक शेर पढ़ते है modiji पूरी गजल पढ़ गए .
","@kapilv20012001 @vaidehisachin people read a verse to understand , modi sir read the entire poem .
"
"@buttmona098 @HamzaIdrees अच्छा topic change करो
","@buttmona098 @Hamzaldrees change the topic .
"
"Yuvraj Singh का बाप बहुत खुश होगे आज ... घटिया इंसान #India loves you #Dhoni
","Yuvraj Singh ka baap bht khush hoga aaj ... Ghatiya insaan #India loves you #Dhoni
"
"@MeetUunngLee भाई , बस होगया कल तुझे phone कर के गालियाँ दूँगा . DM
","@MeetUunngLee brother , tomorrow I will just call you and abuse you . direct message
"
"@anjanaomkashyap Afridi is bowler name not batsman .. कभी कभी अच्छा batting कर लेता है
","@anjanaomkashyap afridi is bowler maam not batsman .. he bats nice sometimes
"
"( gandhi ) he is a murderer . he killed subhas छ . बोस
","gandhi is a murderer . he killed subhash chandra bose
"
"तो late हो गया उठाने मे .. सुबह थी
","you got late in waking up .. it was morning
"
"#209 : Can anyone recommend some good streaming site to watch free movies online ?
","#209 : Can anyone recommend some good streaming site to watch free movies online ?
"
"@iamGunjanGrunge नया माल आया है .. पहले बोल ' बाई टू world best बाई है '
","@iamGunjanGrunge i ’ ve got new supply . first say ‘ you are the best in the world ’
"
"SIM पक्के BSNL की होगी .. गुस्से में मालिक फेंक गया hogahttps :/ / twitter.com/oneindiaHindi/status/682120115156987905Â â € ¦
","SIM will be of BSNL .. Angry owner will be thrown back .
"
"बस में duty पर लग जाऊँगा आने वाले हफ्ते से , तो सो जाना .
","I willl just be on duty from the coming week , you go to sleep .
"
"guddu और मैं . . . . . have done more than 95 % things similar . love you bro for reminding my childhood .
","guddu and me have done more than 95 % things similar . love you brother for reminding my childhood .
"
"जिक्सके राज में नायपरनाली भी corrupt होती जा रही है "" जंहा नए नहीं शोषण होता है ""
","in a dispensation where the judiciary is corrupt , you get exploitation and not justice .
"
"पता नहीं लोगों को #diwali time पे है #pollution की समझ क्यों आती है उसके पहले न उसके बाद ... ? ? ?
","do not understand why on #diwali time people get understanding of #pollution not before or after ... ?
"
"@OneChilledBeer एक दिन के लिए आया darling my love
","@OneChilledBeer for one day came my darling love
"
"mizzou commemorates its win over kentucky with a t-shirt . no , really . । dr . saturday - yahoo ! sports http / URL #fb
","mizzou commemorates its win over kentucky with a t-shirt . no , really . dr.saturday - yahoo ! sports http / URL #fb
"
"@someUSER we spoke and you didn't mention it . . ! happy birthday queen ! enjoy your earth day . . long may your pioneering work continue . . x x
","@someUSER we spoke and you didn't mention it .  . ! happy birthday queen ! enjoy your earth day .  . long may your pioneering work continue .  . x x
"
"@DailyVelli सुबह से chalice बाहर यह पूछ चुकी हूँ
","@Delivelli has asked this forty times since morning
"
"नफरत से ज्यादा बदबू आएगी .. आज नहाया या नहीं गांडू
","nafrat will smell will smell very very bad , did he took a bath today
"
"@runjhunmehrotra @Ra_Bies ऐसे मत बोलो सर को , इनके पैर छुओ . इनके आशीर्वाद में बिना अपना घर नहीं बस सकता
","@runjhunmehrotra @ra_bies don ’ t talk like this to sir , touch his feet . we can ’ t make our home without his blessings .
"
"@Insane_chorri साड़ी किसी तुम ही दोगी या कुछ हम भी दे ? @runjhunmehrotra
","@Insane_chorri only you will give all the kisses or some I can also give ? @runjhunmehrotra
"
"i am missing my home and family :(
","i am missing my home and family :(
"
". @narendramodi sir कल मेरी Dilli वाली train छूट गयी थी रात को .. नहीं तो आपकी बगल वाली window seat पे बैठा होता अभी
",". @narendramodi sir yesterday night i missed my train to delhi .. otherwise i'd be sitting on thewindow seat beside you
"
"@HathwalaThakur hahaa .. Thakur भाई क्या टोका है अपनी @ArvindKejriwal को
","@HathwalaThakur what a hit on @ArvindKejriwal thakur brother
"
"यह देगी तुमको चुम्मी @Ra_Biespic .twitter.com/d7KHcFed2w
","she will kiss you @Ra_Biespic .twitter.com/d7KHcFed2w
"
"@PoojaMissra एक दिन इन सब prostitutes को होना पड़ेगा गधे पर सवार ... #FarziPatrakarRavishKumar
","@PoojaMissra one day these presstitutes will have to ride on donkeys ... #FarziPatrakarRavishKumar
"
"मैं तो इतने games में भी बस ninja turtles , street fighter , car race and mario खेल कर खुश था बाकी games पर ध्यान देने का टाइम किसके पास था :-d
","I was happy to play Ninja Turtles , Street Fighter , Car Race and Mario among all other games , and not at all interested in remaining games : - D
"
"@nahid isnt your reply an answer
","@nahid isn't your reply an answer ?
"
"@huh_watnow दिल तो तुमने ले रखा है
","@huh_watnow you have taken the heart
"
"@ppritam009 मुझे याद रहेगा
","@ppritam009 I will remember
"
"@someUSER :) most def , i think when you come tomorrow the boys will be here .
","@someUSER :) most definitely , i think when you come tomorrow the boys will be here .
"
"@Sanjoyjpr @NavbharatTimes @nerajbadhwar dhanawad sir :)
","@Sanjoyjpr @NavbharatTimes @neeerajbadhwar dhanawad sir :)
"
"was ready to tune in and watch my thursday night comedy on channel 4 and then the tv guide tells me "" the voice "" is on . . . dammit .
","was ready to tune in and watch my thursday night comedy on channel 4 and then the tv guide tells me "" the voice "" is on . dammit .
"
"वैसे ही कुछ Kavita , वैसे ही
","something like that , same poem
"
"salman sir आपके being human trust की small cities में भी requirement है .. pls . जितनी ज्यादा हो सके उतने लोगों की मदद कीजिये ... and BAJRANGI भाईजान की जय हो .
","salman sir the small town have the reqirement of your ' being human ' trust . please , help them as much as possible . and bajrangi brothe may win .
"
"अगर आपको potty आए और आस-पास toilet न हो तो क्या करोगे ? सोचो , क्योंकि जहां सोच वहीं शौचालय .
","if you feel an urge to poop and there is no toilet nearby what will you do ? think , because where there is thought there is toilet .
"
"@DuttYogi @TheRahulMehra @ZeeNewsSports Salman ने कई बार कानून तोड़ा है , शराब पीकर लोगों की हत्या की है , #SalmanForRio ? ?
","@DuttYogi @TheRahulMehra @ZeeNewsSports salman has broken the law many times , murdered people by drinking alcohol , #SalmanForRio
"
"@byomkesbakshi gym गये थे आज सुबह ? वो वही मिलता है आजकल
","@byomkesbakshi did you go to gym today ? he is seen there nowadays .
"
"ऐसा मत बोल भाई .. India भी WC अपने ही देश में जीती थी RT @NaughtyDew_ : Australia , अपना गाली में कुत्ता भी शेर होता है
","don't say so brother .. india too won the worldcup in its own country @NaughtyDew_ australia , a dog in your street is also a lion
"
"@bhaisaabkoram अब तक shooting start नहीं हो यार
","@bhaisaabkoram i am not a shooting star yet
"
"Gulab जामुन और रसगुल्ले की जोड़ी . आए Haaye.pic.twitter.com/xfggLMFmLt
","The pairing of Rasgulla and Gulab Jamun pic.twitter.com/xfggLMFmLt
"
"man you make me so nostalgic . .
","man you make me so nostalgic .  .
"
"कुछ भी हो . . . . even missing those 4 games ! ! ! ! a lots memories attached ! ! ! ! :d
","Whatever happens , missing those 4 games ! A lot of memories attached !
"
""" बहन independence day की तैयारियां शुरू कर दीं ? "" Barkha Dutt : "" हाँ बहन , 14 August को दिन ही कितने बचे हैं ""
",""" Sister , shall we start Independence day preparations ? "" . Barkha Dutt : "" ok sister , how many days left till 14th august ? ""
"
"एक बात समझ नहीं "" आती सारी anti-Indians #JNU से ही क्यों पैदा होते "" है क्या JNU मैं यही सब चल रहा है ...
","I do not get it . Why are all anti-indians born from #JNU Is this what is going on in JNU ?
"
"why Muslim women cant marry non muslim , while Muslim men can @itsSSR @ipathak25 @Esha_Deol @anuragkashyap72 https://t.co/riqyOtiiF4
","why muslim women can not marry non muslim , while muslim men can @itsSSR @ipathak25 @Esha_Deol @anuragkashyap72 https://t.co/riqyOtiiF4
"
"Abhishek - पूरे stage पे एक ही Legend रह सकता हैं ... और इस stage का Legend में हूँ .. #IndvsPak https://t.co/Sk06OQhCRS
","Abhishek - There can only be one legend on whole stage and I am the legend of this stage . #IndvsPak https://t.co/Sk06OQhCRS
"
"@OfficeOfRG आपके चुन्नी हुए सरकारी Pogoman और शक्तिमान में busy हैं .. ये तो होगा ही ..
","your selected government is busy watching pogo and shaktiman , this is expected to happen
"
"@Bhoolwerine तो सिर्फ मुझे ही follow करता है क्या
","@Bhulverine , do you follow me only ?
"
"@Psilosophy हाय मेरे local robin sharma
","@Psilosophy oh my local robin sharma
"
"@Riskiest_Poison बहुत प्यारी है
","@Riskiest_Poison you are lovely
"
"@ujwala18113 आज कई गली एएस तो
","@ujwala18113 what are you wearing today ?
"
"मुझे आप भूत आके लगकते है बचपन से देखती आ रही हूँ और मरते दम तक देखूंगी i am a big fan . . . . 4rm nepal
","i have a feeling you and i like you so much , i have been watching you since my childhood and will see you till my death fourm nepal
"
"तो उनके मुंह पर थेपला मार , mirchi के साथ
","hit a thepla on his face with mirchi .
"
"guddu the plan successfully हो गया ! ! वधिया जी . .
","guddu's plan was successfull ! ! nice .
"
"India ने Bangladesh को World Cup से धक् दिया ! #IndvsBan
","India gave Bangladesh Dhaka from teh World Cup ! #IndiavsBan
"
"Relationship Status : एक गरम चाय की प्याली हो , कोई उसको पिलाने वाली हो .
","relationship status : a girl to feed a hot cup of tea
"
"RT @JacyKhan : @SRKhyati @iamsrk Aaawwiee Thank you so much बच्चे â  ¤ काश इसे कल देखती तो आज तो महको IT में noble prize है मै जाता ... धâ € ¦
","@JacyKhan : @SRKhyati @iamsrk Aaawwiee Thank you so much kid i wish i could see this year then in it i would have won noble prize .
"
"@narendramodi_in Sir mahashivratri की हार्दिक बड़ाई.ओम नामे शिव
","pray to god for u.my icon .
"
"guddu से भी ज्यादा दुष्ट है ये teacher . . . . raman sir को छोड़ना मत guddu . . .
","This teacher is worse than guddu ... don't let him go guddu
"
"@VikrantShanbhag hahaha single कहाँ , आज़ादी है ना मेरी दुल्हन .. PS : आज़ादी देश की नहीं , मेरी @Parsahiya
","@VikrantShanbhag hahaha . i'm not single , freedom is my wife ... ps : my freedom , not that of the country @Parsahiya
"
"Haryana में #AkhileshYadav की govt आ गई है क्या ? ? ? Has #SamajwadiParty taken over Haryana ? ? ? बहुत rape हो ...
","has government of #AkhileshYadav come in haryana ? Has #SamajwadiParty taken over Haryana ? be a lot of rape ...
"
"one nation one law भी हो जाना चाहिए #GST तो हो गया अब .
","there should be one law for one nation #GST is done now .
"
"#trump के 7 muslim देशों पर बाण से जो लोग हल्ला कर रहे थे वो अब #kuwaitbans पर मुंह छिपाए घूम रहे हैं 0 बहुत नाइंसाफी है ... : प
","the people who were causing a havoc because of # Trump's ban on 7 muslim countries are now roaming around on #KuwaitBuns , this is very unfair
"
"#Modi जी ने हमारे बचपन के adult jokes को भी सच कर दिखाया 0 और कितने अच्छे दिन चाहिये ? #INSKalvari #MakeInIndia
","#Modi has realised the adult jokes of our childhood . how much more good days do you want ? #INSKalvari #MakeInIndia
"
"Yesterday , she was another "" अरे यार लड़की हो गई "" . Today , she is "" अरे जाट की चोरी है , medal कैसे नहीं लाएगी "" #SakshiMalik
","yesterday , she was another "" oh no ! it's a girl "" . today , she is "" hey ! she's a jatt , how will she not win a medal . "" #SakshiMalik
"
"सही time पर captaincy छोड़ दी "" अब आराम से enjoy कर पाएगा batting 0 #Dhoni
","left captaincy in nick of time #Dhoni
"
"@Gurmeetramrahim #GratitudeToAllMothers Amazing video पिता जी Love u lot
","@Gurmeetramrahim #GratitudeToAllMothers amazing video father loves you lot
"
"अब हार गये तो आज रात नींद नहीं आएगी बाई . और थोड़े आंसू भी आएंगे .
","Now if we loose , we will not be getting any sleep tonight . And some tears will also come .
"
"आज Yograj Singh खुश तो बोहोत होंगे #RRvsCSK
","yograj singh , you must be happy today #RRvsCSK
"
"@vijayeni यहाँ होती तो पक्का खिलाता . Puran पोली with aamras . :D
","@vijayeni Had you been here , I would have definitely fed you . Mango juice of Puran poli . :D
"
"hahaha abishek bachan के साथ साथ guddu को भी लात पड़ गयी :d :d :d
","Hahaha Abhishek Bachchan or accompanying guddu ko la pad pad : sad
"
"जिओ ने march तक का क्यों free रखा ?
","why did jio make it free till march ?
"
"@RoflGandhi_ Guruji को भी #RightToPrivacy से फायदा हुआ है 0 अब वह Secret room में privacy में कुछ भी कर सकते हैं
","@RoflGandhi_ even guruji is benefitted by #RightToPrivacy . now he can do anything in the secret room in privacy .
"
"क्या आप भी FREE MOBILE या DTH या LAPTOP चाहते हैं पहले इसी देखें ? ? ? #JIO
","do you also want free mobile or dth or laptop ? please watch this . #JIO
"
"come out and join us for the sia trek or treat , october 27th ! http / URL it's a fundraiser for the safe house !
","come out and join us for the sia trek or treat , october 27th ! http / URL it's a fundraiser for the safe house !
"
"@Madan_Chikna एकदम ऊपर तक गया .
","@Madan_Chikna i went to the top .
"
"nice nice nice ...
","nice nice nice !
"
"Nafisa की Surat अछि है क्या ?
","does nafisa has good looks .
"
"i love u salman वै . i always like you वैजान.खुदा हमेशा आपकी साथ रहेगा ..
","i love you salman brother i always like you . vaijan khuda will always be with you .
"
"हाँ , वैसे भी अपनी trips चालू होएंगे by year end * नाचो *
","yes , anyhow our trips will start by year end * dance *
"
"@s_manjari फिर तो 100 % से बढ़ जायेगा
","@s_manjari then it would increase by 100 %
"
"@Ares_c3108 क्या है यह ?
","@Ares_c3108 what is this ?
"
"@KyaUkhaadLega भिगो के मारते हो हर बात पे
","@KyaUkhaadLega you beat ruthlessly for everything
"
"@Miss_Ankiita हं .. सही कहा .. कुछ Virar वाले तो सुबह office जाने के लिए तैयार हो कर ही आये हिंज
",")
"
"@dramebaaz_ani बहोत ही घटिया सोच
","@dramebaaz_ani too much bad thoughts
"
"#PMModi ने कहा कि यह एक vijay प्राप्त सत्र रहा . इस budget session में LS में 21 bill और RS में 14 bill पारित "" हुए #GST bills भी : A Kumar
","#PMModi said this was the great budget session . 21 bills in LS and 14 bills in RS got passed even #GST bills : Akumar
"
""" कुछ कुछ होरेला हाय Anjali , तेरेको घंटा नहीं समझ आएगा "" - SRk from Kurla
",""" something is happening anjali , you wont understand "" - srk from kurla
"
"ऐसे झूठ मत बोल , और आया है तो मिल
","dont lie like this , and meet me if you have come
"
"बड़े हैं एहसान हम पे , दिल ने किया जो बशर #GuessTheSong ( Without hashtag not valid )
","there are many favours on me , dil ne kiya jo basar #GuessTheSong ( Without hashtag not valid )
"
"सल्लू bhaijan.pls आ जाओ अब
","sallu brother , please come now .
"
"creativity . . . crime but salute
","Creativity . Crime but salute !
"
"fevi-quick के साथ साथ सुई धागा भी दे दो उनको
","give them thread and needle along with the fevi-kwik
"
"@huh_watnow ये देखो आजकल की लड़कियों को @twinitishapic .twitter.com/FovAiVsEN4
","@huh_watnow see these girls of today . @twinitishapic .twitter.com/FovAiVsEN4
"
"At funeral of Sahara chief's mother : Amitabh to Akhilesh https://t.co/P5ofQnTcyf https://t.co/b6wHGXL1R5
","At funeral of Sahara chief's mother : Amitabh to Akhilesh https://t.co/P5ofQnTcyf https://t.co/b6wHGXL1R5
"
"i can totally relate :d :d
","i can totally relate
"
"अन्नाजी आपको भी साथ मिलकर try मारनी चाहिए . . . . . . . . . . क्या पता कुछ हो सके , जिनकी आप बात कर रहे हैं , उनको काम करना तो पहले सिखाएं ! ! !
","sir anna you should also join them and try , who knows something might happen , the person you are talking about first teach them how to work .
"
"freestyle wednesday - #np big lie , जे ease , mos def , black thought , eminem , yelawolf . . . love it
","freestyle wednesday - #np big l , jay z , mos def , black thought , eminem , yelawolf .  .  . love it
"
"भी'दे भी'दे शहरों में ये छोटी छोटी बातें होती रहती हैं .
","in big big cities , such small small things keep happening
"
"हाँ जो e-mails पर आते थे .
","yes , those who used to come in emails .
"
"contra में th इस power best थी . कियूं थी कि नई ?
","in contra s power was best . wasn ’ t it ?
"
"आज 1 तारीख है .. अब तक petrol diesel का price नहीं बढ़ाया govt ने ?
","today is 1 government didn't increased price on petrol diesel ?
"
"Diwali के दिन eggs खा सकते हैं क्या ?
","can we eat eggs on day of diwali ?
"
"कम से कम chalk तो ले आया . . . नहीं तो खाली हाथ है . . sir खत्म हो गई . . .
","atleast bought a chalk otherwise empty hand ... sir finished
"
"सन की kick तो awesome है यार . . उद्बीलाओं की तशरीफ़ उड़ा दी . . :d
","shan ’ s kick is awesome . he dishonoured udbilao .
"
"@JatinKiDuniya @GodrejExpert वो मुझे chocolate देते हैं #MyFirstHero
","@Jatinkiduniya @godrejexpert they give me chocolate #mafirsthero
"
"काश viva में ऎसे रोने से marks मिल जाया करती . . . . "" sir पढ़ा तो था पर अभी याद नहीं आ रहा . . . . boohoohoo "" :p ;)
","only if we could get marks in viva by crying like this “ sir i had read this but can ’ t recall ”
"
"@Atheist_Krishna तो हिल जाएगा देख कर
","@Atheist_Krishna you'll get shaked after hearing this ..
"
"Sorry , मुझे लगा रात के 11.30 बजे है .
","sorry , I thought it was 11:30 night
"
"@DefucktiveHumor और आज उल्टी भी करेगी
","@DefucktiveHumor and he will vomit today also
"
"@tweetingsourav सबसे गंदा hangover Royal Stag का है
","@TweetingSurao is the messiest hangover of the Royal Stag
"
"#Pakistan की हालत तो ऐसी है जैसे धोबी का कुत्ता न घर का न ghat का #trump
","the condition of #Pakistan is like washerman's dog can be neither of home nor riverside #trump
"
